02/16/2015 13:16:50 From 127.0.0.1: SQLSTATE[42S01]: Base table or view already exists: 1050 Table 'VocabList' already exists
02/16/2015 14:14:02 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'Word' cannot be null
02/16/2015 14:14:31 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'albeit' for key 'PRIMARY'
02/16/2015 14:14:31 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'alter ego' for key 'PRIMARY'
02/16/2015 14:14:31 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'amoral' for key 'PRIMARY'
02/16/2015 14:14:31 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'anomaly' for key 'PRIMARY'
02/16/2015 14:14:31 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'anxiety' for key 'PRIMARY'
02/16/2015 14:14:31 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'aristocracy' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'articulate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'assert' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'bleak' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'cast' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'caustic' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'compel' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'concoct' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'constitute' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'construe' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'contemporary' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'correlative' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'cosmopolitan' for key 'PRIMARY'
